drive_id,name,map_id,map_url
1oAbd58egUBFOSmCPo-TQFnLayE_jfHFG,Cadillac Seventh-day Adventist Church,E016586,https://drive.google.com/drive/folders/1oAbd58egUBFOSmCPo-TQFnLayE_jfHFG
1o7I1P1w8s4IIfTBvxaCDuSs6UyJJ7A8u,Carp Lake Faith Memorial SDA,E016587,https://drive.google.com/drive/folders/1o7I1P1w8s4IIfTBvxaCDuSs6UyJJ7A8u
1o32GA7aBjXm2pJ3wM4XSZHEvZA85vYMz,Cedar Lake Seventh-day Adventist Church,E016593,https://drive.google.com/drive/folders/1o32GA7aBjXm2pJ3wM4XSZHEvZA85vYMz
1nrNRSzjMi_gQRCYu5sx4JNEnQBBnrdfx,Central Lake Seventh-day Adventist Church,E016595,https://drive.google.com/drive/folders/1nrNRSzjMi_gQRCYu5sx4JNEnQBBnrdfx
1nqyL3gi3cg7Tb-ZYEFWuyCWYgSLB7Bgt,Centreville Seventh-day Adventist Church,E019302,https://drive.google.com/drive/folders/1nqyL3gi3cg7Tb-ZYEFWuyCWYgSLB7Bgt
1noUkyzJDUBx6U41V-Kf6LKtqdFRhGq8r,Charlotte Seventh-day Adventist Church,E016596,https://drive.google.com/drive/folders/1noUkyzJDUBx6U41V-Kf6LKtqdFRhGq8r
1neXUn9kFUzYab5iY4ItIsekTetrdeuyb,Cheboygan Seventh-day Adventist Church,E016597,https://drive.google.com/drive/folders/1neXUn9kFUzYab5iY4ItIsekTetrdeuyb
1nXn7bO1gE6jZrkV6nYC5aIRmyrnfMdHi,Cherry Hill Seventh-day Adventist Church,E019306,https://drive.google.com/drive/folders/1nXn7bO1gE6jZrkV6nYC5aIRmyrnfMdHi
1nWhom5-nKHpf-hgur5-8kD8lIaVN5vFa,Chesaning Seventh-day Adventist Church,E016598,https://drive.google.com/drive/folders/1nWhom5-nKHpf-hgur5-8kD8lIaVN5vFa
1nNoXDwhn7AarfManV9KrXEwazTu6p-n0,Chikaming Seventh-day Adventist Church,E016599,https://drive.google.com/drive/folders/1nNoXDwhn7AarfManV9KrXEwazTu6p-n0
1nARgMaphmlMXPlp7_iS5oGaBqrbc02Gk,Clare Seventh-day Adventist Church,E019697,https://drive.google.com/drive/folders/1nARgMaphmlMXPlp7_iS5oGaBqrbc02Gk
1n7aMSc8PnQfC0200jLtWiYGZrYWb68cF,Clio Seventh-day Adventist Church,E020995,https://drive.google.com/drive/folders/1n7aMSc8PnQfC0200jLtWiYGZrYWb68cF
1n6PXloxM0sgIWkgoOn3h4IAyT9SyegBh,Coldwater Seventh-day Adventist Church,E016603,https://drive.google.com/drive/folders/1n6PXloxM0sgIWkgoOn3h4IAyT9SyegBh
1n3LNzhuL4BQEroZLsoeCQ60PLGp2Plkc,Coloma Seventh-day Adventist Church,E016604,https://drive.google.com/drive/folders/1n3LNzhuL4BQEroZLsoeCQ60PLGp2Plkc
1p1bMptb-v1DN11JJnd5hLXz95uwKClVm,Covert Seventh-day Adventist Church,E016605,https://drive.google.com/drive/folders/1p1bMptb-v1DN11JJnd5hLXz95uwKClVm
1ozRr6FkvYXkNx77u7KX9h_d1KBygLWMv,Delton Seventh-day Adventist Church,E016606,https://drive.google.com/drive/folders/1ozRr6FkvYXkNx77u7KX9h_d1KBygLWMv
1ox01UndqazqntNbduOUx7ctF3LWw-H2r,Detroit Korean Seventh-day Adventist Church,E016609,https://drive.google.com/drive/folders/1ox01UndqazqntNbduOUx7ctF3LWw-H2r
1oszZcRFZ5Ys7X525au-HERAwEbC56iYI,Detroit Northwest Seventh-day Adventist Church,E016612,https://drive.google.com/drive/folders/1oszZcRFZ5Ys7X525au-HERAwEbC56iYI
1olx3EBpNC-5pnw_zWFSJs0J8p2MbrHgF,Detroit Oakwood Seventh-day Adventist Church,E016610,https://drive.google.com/drive/folders/1olx3EBpNC-5pnw_zWFSJs0J8p2MbrHgF
1okUTlvibYPdSaM_MBdpSUyMRrA7AXkog,Detroit Shalom Spanish Company,E019986,https://drive.google.com/drive/folders/1okUTlvibYPdSaM_MBdpSUyMRrA7AXkog
1oj2uQG4xd7XzEtbk59mOPCwmIE5YcvdX,Detroit Spanish Cavalry Seventh-day Adventist Church,E016613,https://drive.google.com/drive/folders/1oj2uQG4xd7XzEtbk59mOPCwmIE5YcvdX
1oYBRfE6zp4tYt0TnlckNStditVsAcyXv,Detroit Spanish Ebenezer Seventh-day Adventist Company,E045845,https://drive.google.com/drive/folders/1oYBRfE6zp4tYt0TnlckNStditVsAcyXv
1oSxWrBb-rPqaDlpQc2r7vpNJMlrgbWi2,Dowagiac Seventh-day Adventist Church,E016614,https://drive.google.com/drive/folders/1oSxWrBb-rPqaDlpQc2r7vpNJMlrgbWi2
1oLv8vHU5BtAMvAEwrkWd2_K4FYadX5fg,East Lansing University Seventh-day Adventist Church,E016584,https://drive.google.com/drive/folders/1oLv8vHU5BtAMvAEwrkWd2_K4FYadX5fg
1oLKxlQbbW0v7swHWrnHPSwHw4Z4iI2Bp,Eau Claire Seventh-day Adventist Church,E016615,https://drive.google.com/drive/folders/1oLKxlQbbW0v7swHWrnHPSwHw4Z4iI2Bp
1oJsZb6oeJD7HfnRDpy6qEmG6NVibvGZD,Eau Claire Spanish Church,E031563,https://drive.google.com/drive/folders/1oJsZb6oeJD7HfnRDpy6qEmG6NVibvGZD
1oHOdUzuzYHVZK0ifTR8azJxZxzDU5j80,Edenville Seventh-day Adventist Church,E016616,https://drive.google.com/drive/folders/1oHOdUzuzYHVZK0ifTR8azJxZxzDU5j80
1oGYjDFpCqjOpFmnrquKPomeE2e3TyWhX,Edmore Seventh-day Adventist Church,E016617,https://drive.google.com/drive/folders/1oGYjDFpCqjOpFmnrquKPomeE2e3TyWhX
1oDdB4DPIONpSJIMbP_x4CWJAAx0Cj84D,Edwardsburg Seventh-day Adventist Church,E020994,https://drive.google.com/drive/folders/1oDdB4DPIONpSJIMbP_x4CWJAAx0Cj84D
1q6SuHIpqN6fqSNMxiNMbNAIVSCiIcskU,Elk Rapids Spanish Seventh-day Adventist Church,E016618,https://drive.google.com/drive/folders/1q6SuHIpqN6fqSNMxiNMbNAIVSCiIcskU
1q0TwPFSwcoH36UYelvL-u5jB9d7_3gp8,Escanaba Seventh-day Adventist Church,E016619,https://drive.google.com/drive/folders/1q0TwPFSwcoH36UYelvL-u5jB9d7_3gp8
1q-96nobN72Aa8W5Lsvf7FOct3mwnNLSr,Estey Seventh-day Adventist Church,E016620,https://drive.google.com/drive/folders/1q-96nobN72Aa8W5Lsvf7FOct3mwnNLSr
1pzFtbRqvdtdABXzGoIeJfZ2rm1QDkgpp,Farmington Seventh-day Adventist Church,E016622,https://drive.google.com/drive/folders/1pzFtbRqvdtdABXzGoIeJfZ2rm1QDkgpp
1pui1YkvDrwykh4hAOg6q_M_UPfL5RWe7,Fenton Seventh-day Adventist Church,E016623,https://drive.google.com/drive/folders/1pui1YkvDrwykh4hAOg6q_M_UPfL5RWe7
1ptKDRDXaej-leJcT_W25uirXVX1bampj,First Flint Seventh-day Adventist Church,E016624,https://drive.google.com/drive/folders/1ptKDRDXaej-leJcT_W25uirXVX1bampj
1pqkdz8ujM1vXXtPMcjxpgj8XFTuJOu4C,Frankfort Seventh-day Adventist Church,E016625,https://drive.google.com/drive/folders/1pqkdz8ujM1vXXtPMcjxpgj8XFTuJOu4C
1poKQkueMqGGErm5CrpnmxiU2yqAnJt9h,Frost Seventh-day Adventist Church,E016627,https://drive.google.com/drive/folders/1poKQkueMqGGErm5CrpnmxiU2yqAnJt9h
